	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
0	Stanley Johnson	TOR	TOR vs. DEN	08/14/2020	W	29	23	9	16	56.3	4	8	50.0	1	3	33.3	0	4	4	6	1	1	5	5	5	37.8
1	Mason Plumlee	DEN	DEN @ TOR	08/14/2020	L	20	10	4	6	66.7	0	0	-	2	3	66.7	1	2	3	2	0	4	0	2	-3	28.6
2	Monte Morris	DEN	DEN @ TOR	08/14/2020	L	30	16	4	14	28.6	2	7	28.6	6	6	100	0	6	6	4	0	1	2	0	-7	30.2
3	Rondae Hollis-Jefferson	TOR	TOR vs. DEN	08/14/2020	W	22	6	3	9	33.3	0	0	-	0	1	0.0	2	4	6	3	0	1	1	1	11	19.7
4	Noah Vonleh	DEN	DEN @ TOR	08/14/2020	L	7	2	1	2	50.0	0	0	-	0	0	-	0	0	0	1	0	0	0	0	0	3.5
5	Jamal Murray	DEN	DEN @ TOR	08/14/2020	L	10	11	4	5	80.0	3	3	100	0	0	-	0	0	0	1	1	0	0	2	-6	15.5
6	Jerami Grant	DEN	DEN @ TOR	08/14/2020	L	18	2	1	6	16.7	0	3	0.0	0	0	-	1	1	2	1	0	0	0	0	2	5.9
7	Chris Boucher	TOR	TOR vs. DEN	08/14/2020	W	22	9	3	8	37.5	1	3	33.3	2	3	66.7	4	5	9	0	0	1	1	2	5	21.8
8	Dewan Hernandez	TOR	TOR vs. DEN	08/14/2020	W	13	4	2	6	33.3	0	0	-	0	0	-	3	4	7	1	0	0	1	0	0	12.9
9	Marc Gasol	TOR	TOR vs. DEN	08/14/2020	W	17	2	1	3	33.3	0	1	0.0	0	0	-	0	3	3	5	1	1	2	2	-2	17.1
10	Paul Millsap	DEN	DEN @ TOR	08/14/2020	L	16	10	4	8	50.0	2	3	66.7	0	0	-	1	2	3	2	2	1	1	2	-4	24.6
11	Nikola Jokic	DEN	DEN @ TOR	08/14/2020	L	10	2	1	1	100	0	0	-	0	0	-	0	1	1	2	0	0	1	0	-6	5.2
12	Tyler Cook	DEN	DEN @ TOR	08/14/2020	L	16	4	1	2	50.0	0	0	-	2	2	100	2	2	4	0	2	0	2	1	-3	12.8
13	Bol Bol	DEN	DEN @ TOR	08/14/2020	L	15	8	2	6	33.3	0	1	0.0	4	5	80.0	1	3	4	2	0	3	2	2	1	22.8
14	Torrey Craig	DEN	DEN @ TOR	08/14/2020	L	15	3	1	6	16.7	1	3	33.3	0	0	-	1	3	4	3	0	0	1	0	-6	11.3
15	Norman Powell	TOR	TOR vs. DEN	08/14/2020	W	23	15	6	9	66.7	3	5	60.0	0	0	-	1	5	6	2	1	1	3	2	-3	28.2
16	P.J. Dozier	DEN	DEN @ TOR	08/14/2020	L	31	20	6	9	66.7	5	6	83.3	3	3	100	0	5	5	8	2	0	1	0	-5	43.0
17	Keita Bates-Diop	DEN	DEN @ TOR	08/14/2020	L	24	11	3	11	27.3	1	4	25.0	4	4	100	2	4	6	0	1	2	2	3	-1	25.2
18	Troy Daniels	DEN	DEN @ TOR	08/14/2020	L	28	10	4	11	36.4	2	8	25.0	0	0	-	0	3	3	1	1	0	3	3	-2	15.1
19	Matt Thomas	TOR	TOR vs. DEN	08/14/2020	W	28	12	4	6	66.7	2	3	66.7	2	2	100	1	2	3	2	1	0	2	4	7	19.6
20	Terence Davis	TOR	TOR vs. DEN	08/14/2020	W	34	14	5	15	33.3	2	6	33.3	2	2	100	1	5	6	3	2	0	3	2	6	28.7
21	Malcolm Miller	TOR	TOR vs. DEN	08/14/2020	W	26	10	4	5	80.0	2	3	66.7	0	0	-	1	0	1	3	1	0	0	4	3	18.7
22	Paul Watson	TOR	TOR vs. DEN	08/14/2020	W	27	22	8	13	61.5	4	6	66.7	2	3	66.7	0	6	6	2	1	0	1	2	8	34.2
23	Malcolm Brogdon	IND	IND vs. MIA	08/14/2020	W	25	16	6	14	42.9	4	7	57.1	0	0	-	2	4	6	6	0	0	3	3	5	29.2
24	Kyle Alexander	MIA	MIA @ IND	08/14/2020	L	12	2	1	1	100	0	0	-	0	0	-	1	1	2	0	0	0	1	1	-3	3.4
25	Aaron Holiday	IND	IND vs. MIA	08/14/2020	W	17	11	5	7	71.4	1	3	33.3	0	0	-	0	2	2	2	3	0	2	2	2	23.4
26	Kelly Olynyk	MIA	MIA @ IND	08/14/2020	L	20	6	2	9	22.2	2	8	25.0	0	0	-	0	6	6	0	0	1	0	0	-9	16.2
27	Derrick Jones Jr.	MIA	MIA @ IND	08/14/2020	L	16	3	1	2	50.0	0	0	-	1	2	50.0	2	0	2	2	2	0	0	2	-2	14.4
28	Justin Holiday	IND	IND vs. MIA	08/14/2020	W	24	11	3	5	60.0	3	5	60.0	2	2	100	0	7	7	0	1	0	2	3	7	20.4
29	Kendrick Nunn	MIA	MIA @ IND	08/14/2020	L	33	23	8	27	29.6	1	9	11.1	6	6	100	1	1	2	4	3	1	5	1	-21	38.4
30	Duncan Robinson	MIA	MIA @ IND	08/14/2020	L	13	0	0	3	0.0	0	3	0.0	0	0	-	0	2	2	1	0	0	2	1	-5	1.9
31	Edmond Sumner	IND	IND vs. MIA	08/14/2020	W	31	7	3	7	42.9	0	3	0.0	1	1	100	0	2	2	6	0	0	2	4	15	16.4
32	Alize Johnson	IND	IND vs. MIA	08/14/2020	W	38	11	3	8	37.5	2	5	40.0	3	4	75.0	7	10	17	4	0	1	3	3	10	37.4
33	Goga Bitadze	IND	IND vs. MIA	08/14/2020	W	16	4	2	5	40.0	0	2	0.0	0	0	-	1	2	3	2	1	2	2	3	9	17.6
34	Naz Mitrou-Long	IND	IND vs. MIA	08/14/2020	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	1	1	0	0.5
35	Doug McDermott	IND	IND vs. MIA	08/14/2020	W	22	23	8	16	50.0	5	11	45.5	2	3	66.7	1	3	4	0	1	0	0	2	10	30.8
36	Meyers Leonard	MIA	MIA @ IND	08/14/2020	L	29	9	3	7	42.9	2	5	40.0	1	2	50.0	2	5	7	0	0	0	3	0	-10	14.4
37	Solomon Hill	MIA	MIA @ IND	08/14/2020	L	41	21	5	13	38.5	1	4	25.0	10	12	83.3	2	5	7	3	1	0	3	2	-8	33.9
38	T.J. Leaf	IND	IND vs. MIA	08/14/2020	W	18	6	3	9	33.3	0	2	0.0	0	1	0.0	0	3	3	1	2	0	0	2	10	17.1
39	Chris Silva	MIA	MIA @ IND	08/14/2020	L	24	5	2	4	50.0	0	0	-	1	4	25.0	4	7	11	1	0	3	1	3	-12	27.7
40	Brian Bowen II	IND	IND vs. MIA	08/14/2020	W	2	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	1	0	2.0
41	Tyler Herro	MIA	MIA @ IND	08/14/2020	L	28	16	6	16	37.5	3	8	37.5	1	1	100	1	0	1	3	0	0	3	2	-10	18.7
42	JaKarr Sampson	IND	IND vs. MIA	08/14/2020	W	23	10	5	9	55.6	0	0	-	0	0	-	1	3	4	2	2	0	2	1	5	21.8
43	T.J. McConnell	IND	IND vs. MIA	08/14/2020	W	21	8	4	8	50.0	0	0	-	0	0	-	0	3	3	8	1	0	2	2	12	24.6
44	Udonis Haslem	MIA	MIA @ IND	08/14/2020	L	24	7	3	5	60.0	1	1	100	0	0	-	1	7	8	0	0	0	1	3	-5	15.6
45	Matisse Thybulle	PHI	PHI @ HOU	08/14/2020	W	18	7	3	4	75.0	1	2	50.0	0	0	-	1	1	2	1	4	2	1	1	36	27.9
46	Marial Shayok	PHI	PHI @ HOU	08/14/2020	W	8	5	1	4	25.0	1	3	33.3	2	2	100	1	1	2	0	0	0	1	1	4	6.4
47	Jeff Green	HOU	HOU vs. PHI	08/14/2020	L	25	17	8	10	80.0	0	2	0.0	1	1	100	0	0	0	4	1	1	0	4	-7	29.0
48	Alec Burks	PHI	PHI @ HOU	08/14/2020	W	22	16	6	11	54.5	4	6	66.7	0	0	-	2	3	5	5	2	0	0	0	37	35.5
49	Robert Covington	HOU	HOU vs. PHI	08/14/2020	L	24	5	1	4	25.0	1	4	25.0	2	2	100	0	5	5	1	2	2	1	1	-3	23.5
0	Bruno Caboclo	HOU	HOU vs. PHI	08/14/2020	L	17	11	4	9	44.4	1	4	25.0	2	2	100	1	5	6	0	2	1	4	2	-23	23.2
1	Austin Rivers	HOU	HOU vs. PHI	08/14/2020	L	12	1	0	2	0.0	0	2	0.0	1	2	50.0	0	1	1	0	1	0	1	0	-16	4.2
2	Shake Milton	PHI	PHI @ HOU	08/14/2020	W	19	11	4	7	57.1	3	6	50.0	0	0	-	0	2	2	1	0	0	2	3	-5	12.9
3	Raul Neto	PHI	PHI @ HOU	08/14/2020	W	19	14	4	8	50.0	1	3	33.3	5	7	71.4	0	3	3	5	0	0	0	0	20	25.1
4	Al Horford	PHI	PHI @ HOU	08/14/2020	W	22	10	4	7	57.1	2	3	66.7	0	0	-	0	3	3	4	0	0	3	3	0	16.6
5	Furkan Korkmaz	PHI	PHI @ HOU	08/14/2020	W	17	12	4	7	57.1	2	5	40.0	2	2	100	0	5	5	1	0	0	2	1	27	17.5
6	P.J. Tucker	HOU	HOU vs. PHI	08/14/2020	L	29	7	3	6	50.0	1	4	25.0	0	0	-	0	1	1	2	0	1	0	2	-12	14.2
7	Ben McLemore	HOU	HOU vs. PHI	08/14/2020	L	11	3	1	4	25.0	1	3	33.3	0	0	-	0	2	2	1	1	0	0	0	-17	9.9
8	Tobias Harris	PHI	PHI @ HOU	08/14/2020	W	24	18	6	10	60.0	2	3	66.7	4	4	100	0	7	7	4	1	0	0	0	2	35.4
9	Joel Embiid	PHI	PHI @ HOU	08/14/2020	W	23	14	6	12	50.0	0	0	-	2	3	66.7	2	4	6	1	1	1	5	5	9	23.7
10	Norvel Pelle	PHI	PHI @ HOU	08/14/2020	W	9	6	3	4	75.0	0	1	0.0	0	0	-	0	2	2	0	0	0	1	2	0	7.4
11	Mike Scott	PHI	PHI @ HOU	08/14/2020	W	20	10	3	4	75.0	1	2	50.0	3	4	75.0	1	6	7	3	0	0	0	0	37	22.9
12	Kyle O'Quinn	PHI	PHI @ HOU	08/14/2020	W	17	6	3	5	60.0	0	2	0.0	0	0	-	1	5	6	5	0	1	1	1	23	22.7
13	James Harden	HOU	HOU vs. PHI	08/14/2020	L	26	27	9	16	56.3	4	9	44.4	5	5	100	0	3	3	10	1	2	7	1	-11	47.6
14	DeMarre Carroll	HOU	HOU vs. PHI	08/14/2020	L	25	5	2	5	40.0	1	3	33.3	0	0	-	0	4	4	1	1	0	1	2	-29	13.3
15	Chris Clemons	HOU	HOU vs. PHI	08/14/2020	L	17	4	2	7	28.6	0	5	0.0	0	0	-	0	1	1	4	1	1	1	4	-23	16.2
16	Luc Mbah a Moute	HOU	HOU vs. PHI	08/14/2020	L	14	3	1	3	33.3	0	2	0.0	1	2	50.0	0	1	1	0	0	0	0	0	-14	4.2
17	Eric Gordon	HOU	HOU vs. PHI	08/14/2020	L	23	13	4	10	40.0	3	6	50.0	2	2	100	0	2	2	2	0	1	1	1	-12	20.4
18	Josh Richardson	PHI	PHI @ HOU	08/14/2020	W	23	5	2	4	50.0	1	2	50.0	0	0	-	0	1	1	1	0	0	0	2	0	7.7
19	Michael Frazier II	HOU	HOU vs. PHI	08/14/2020	L	17	0	0	4	0.0	0	4	0.0	0	0	-	0	1	1	0	0	0	1	1	-23	0.2
20	Terrance Ferguson	OKC	OKC @ LAC	08/14/2020	L	17	0	0	2	0.0	0	2	0.0	0	0	-	0	1	1	0	0	0	0	4	-13	1.2
21	Reggie Jackson	LAC	LAC vs. OKC	08/14/2020	W	16	7	2	8	25.0	1	4	25.0	2	2	100	0	2	2	3	0	0	3	3	8	10.9
22	Devon Hall	OKC	OKC @ LAC	08/14/2020	L	24	12	4	12	33.3	3	6	50.0	1	4	25.0	1	0	1	4	3	0	1	2	-1	27.2
23	Patrick Patterson	LAC	LAC vs. OKC	08/14/2020	W	39	17	4	16	25.0	4	11	36.4	5	6	83.3	3	11	14	0	0	0	2	3	-6	31.8
