	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
0	Draymond Green	GSW	GSW @ PHX	10/25/2022		15	2	1	3	33.3	0	1	0.0	0	0	-	1	3	4	1	2	0	2	2	-9	12.3
1	Mikal Bridges	PHX	PHX vs. GSW	10/25/2022		17	0	0	0	-	0	0	-	0	0	-	1	1	2	1	0	0	1	1	7	2.9
2	James Wiseman	GSW	GSW @ PHX	10/25/2022		16	8	3	5	60.0	0	0	-	2	2	100	2	0	2	0	0	1	0	1	-11	13.4
3	Deandre Ayton	PHX	PHX vs. GSW	10/25/2022		16	8	2	6	33.3	0	1	0.0	4	4	100	2	5	7	1	1	0	2	1	5	18.9
4	Devin Booker	PHX	PHX vs. GSW	10/25/2022		17	10	3	6	50.0	1	1	100	3	4	75.0	1	1	2	2	1	0	0	1	8	18.4
5	Moses Moody	GSW	GSW @ PHX	10/25/2022		16	7	2	4	50.0	2	3	66.7	1	2	50.0	0	2	2	0	0	3	0	1	-3	18.4
6	Klay Thompson	GSW	GSW @ PHX	10/25/2022		13	2	1	5	20.0	0	3	0.0	0	0	-	0	0	0	1	0	0	0	0	-10	3.5
7	Stephen Curry	GSW	GSW @ PHX	10/25/2022		17	3	1	3	33.3	0	0	-	1	1	100	0	2	2	2	0	0	0	1	-7	8.4
8	Cameron Johnson	PHX	PHX vs. GSW	10/25/2022		11	1	0	5	0.0	0	2	0.0	1	2	50.0	2	0	2	1	0	0	0	0	9	4.9
9	Andrew Wiggins	GSW	GSW @ PHX	10/25/2022		13	9	4	9	44.4	1	3	33.3	0	0	-	1	1	2	1	1	1	0	2	-7	18.9
10	Jordan Poole	GSW	GSW @ PHX	10/25/2022		11	12	5	9	55.6	2	4	50.0	0	0	-	0	1	1	2	0	0	0	1	0	16.2
11	Chris Paul	PHX	PHX vs. GSW	10/25/2022		8	8	3	4	75.0	2	2	100	0	0	-	0	3	3	2	0	0	1	0	7	13.6
12	Jock Landale	PHX	PHX vs. GSW	10/25/2022		8	7	2	4	50.0	1	2	50.0	2	2	100	1	1	2	0	0	1	0	0	5	12.4
13	Damion Lee	PHX	PHX vs. GSW	10/25/2022		1	2	1	2	50.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	2	3.2
14	Kevon Looney	GSW	GSW @ PHX	10/25/2022		8	0	0	0	-	0	0	-	0	0	-	1	1	2	3	0	0	0	2	1	6.9
